animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,leg_number_is_4,leg_number_is_0,leg_number_is_2,leg_number_is_6,leg_number_is_8,leg_number_is_5,class_type,predicted,probability,correct?
antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.9999999999999998,CORRECT
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.9999999999999998,CORRECT
calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1.0,CORRECT
carp,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,4,4,0.9999999999999986,CORRECT
cavy,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1.0,CORRECT
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,2,2,0.9999999999999991,CORRECT
chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,4,4,0.9999999999999987,CORRECT
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,0.9999999999999881,CORRECT
crab,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,0.9999999959016057,CORRECT
crow,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,2,0.9999999999999988,CORRECT
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,4,4,0.9999999999999987,CORRECT
dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,2,2,0.9999999999999991,CORRECT
elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.9999999999999998,CORRECT
frog,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5,5,0.9999999997774609,CORRECT
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.9999999999999998,CORRECT
girl,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1.0,CORRECT
hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,2,0.9999999999999988,CORRECT
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.9999999999999996,CORRECT
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,2,2,0.9999999999999991,CORRECT
piranha,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,4,4,0.9999999999999987,CORRECT
platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.9999067900351256,CORRECT
polecat,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.9999999999999996,CORRECT
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1.0,CORRECT
rhea,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,2,2,0.9999999999195637,CORRECT
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,7,7,0.9989239495590386,CORRECT
sealion,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1.0,CORRECT
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,3,4,0.8163232540443653,wrong
skua,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,2,1.0,CORRECT
stingray,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,4,4,0.9999999999648491,CORRECT
wasp,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,6,0.9999999999978239,CORRECT
